,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
0,Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,313,10080,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.",10,54,"['Personal Success', 'Stress Management', 'Society & Culture']"
1,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3658,615,Brought to you by Penguin.,3,23,"['Meditation', 'Self-Esteem', 'Personal Success']"
2,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20174,10378,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people.",5,17,"['Personal Success', 'Personal Development & Self-Help']"
3,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4614,888,Brought to you by Penguin.,5,35,"['Psychology', 'Stress Management', 'Personal Success']"
4,Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4302,1005,"Stop going through life, Start growing through life!",6,25,"['Literary Essays', 'Essays', 'Spiritualism']"
6,Sapiens,Yuval Noah Harari,4.6,19994,1093,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly.,15,18,"['Anthropology', 'History of Civilization', 'Anthropology']"
7,Sapiens,Yuval Noah Harari,4.6,19994,1093,New York Times Best Seller,21,42,"['Anthropology', 'Anthropology']"
8,The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9253,18290,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions,17,48,"['Personal Finance', 'Investing & Trading', 'Analysis & Strategy']"
9,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,21936,837,Rich Dad Poor Dad will….,6,9,"['Personal Finance', 'Investing & Trading', 'Personal Development & Self-Help']"
10,The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5082,8735,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",11,4,"['Sleep Disorders', 'Personal Success', 'Healthy Living & Wellness']"
12,Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3766,12356,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings.",10,6,"['Consumer Behaviour', 'Marketing', 'Earth Sciences Books']"
14,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28099,10378,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",4,0,"['Metaphysical & Visionary Fiction', 'Literary Fiction', 'Crime']"
15,How to Win Friends and Influence People,Dale Carnegie,4.5,20872,668,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times.",8,5,"['Communication & Social Skills', 'Personal Development & Self-Help']"
16,"Thinking, Fast and Slow",Daniel Kahneman,4.4,9774,1093,Brought to you by Penguin.,20,1,"['Business Decision Making & Problem Solving', 'Psychology', 'Personal Success']"
18,Becoming,Michelle Obama,4.6,13848,1093,Penguin presents the audiobook edition of Becoming by Michelle Obama.,19,3,"['Women Biographies', 'Biographies & Autobiographies']"
20,The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72,1005,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",10,31,"['Business Careers', 'Biographies of Business Leaders', 'Personal Finance']"
21,21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2810,1093,Brought to you by Penguin.,11,41,"['Political Science History & Theory', 'United States Politics & Government', 'Political Theory']"
22,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,949,10378,Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it!,5,10,"['Entrepreneurship', 'Business Motivation & Self-Improvement', 'Investing & Trading']"
23,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419,668,"We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement.",5,56,"['Personal Finance', 'Business & Economics', 'Personal Development & Self-Help']"
24,Elon Musk,Ashlee Vance,4.5,6456,888,Brought to you by Penguin.,13,23,"['Biographies of Science & Technology Leaders', 'Engineering & Technology', 'Biographies of Business Leaders']"
25,The Monk Who Sold His Ferrari,Robin Sharma,4.6,7573,351,"Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products.",2,40,"['Christianity', 'Spirituality', 'Spirituality']"
27,Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4477,836,"Without the darkness, light has no purpose.",11,32,"['Fiction Sagas', 'Epic Fantasy', 'Fantasy']"
28,"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6702,888,Brought to you by Penguin.,10,53,"['Organisational Behaviour', 'Science', 'Personal Success']"
29,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11213,836,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America.",13,37,"['Biographies & Memoirs', 'Personal Success', 'Biographies & Autobiographies']"
30,Zero to One,Peter Thiel,4.4,5306,615,"What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar.",4,50,"['Business Management', 'Entrepreneurship', 'Organisational Behaviour']"
31,My Gita,Devdutt Pattanaik,4.2,1241,501,"In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible.",6,15,"['Philosophy', 'Hinduism', 'Theology & Philosophy of Religion']"
32,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11864,999,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.""",9,33,"['Family Life Fiction for Children', 'Fantasy & Magic for Children', 'Fiction on Friendship for Children']"
33,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.7,6440,888,Brought to you by Penguin.,8,7,"['Meetings & Presentations', 'Negotiating', 'Forecasting & Strategic Planning']"
34,Chanakya Neeti,Acharya Chanakya,4.4,92,668,"Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.",5,2,"['Biographies & Memoirs', 'Biographies & Autobiographies']"
